Workout Name,Current Rep,Current Set,workout time
{'Standard Squarts'},0/15,1/4,{19.019286394119263}
{'Standard Squarts'},0/15,1/4,{19.06489372253418}
{'Standard Squarts'},0/15,1/4,{19.111704111099243}
{'Standard Squarts'},0/15,1/4,{19.15910506248474}
{'Standard Squarts'},0/15,1/4,{19.208730936050415}
{'Standard Squarts'},0/15,1/4,{19.255151510238647}
{'Standard Squarts'},0/15,1/4,{19.30031991004944}
{'Standard Squarts'},0/15,1/4,{19.347786903381348}
{'Standard Squarts'},0/15,1/4,{19.394943475723267}
{'Standard Squarts'},0/15,1/4,{19.441648483276367}
{'Standard Squarts'},0/15,1/4,{19.487669467926025}
{'Standard Squarts'},0/15,1/4,{19.53309154510498}
{'Standard Squarts'},0/15,1/4,{19.579895973205566}
{'Standard Squarts'},0/15,1/4,{19.626837015151978}
{'Standard Squarts'},0/15,1/4,{19.67342448234558}
{'Standard Squarts'},0/15,1/4,{19.72535252571106}
{'Standard Squarts'},0/15,1/4,{19.76768136024475}
{'Standard Squarts'},0/15,1/4,{19.813629388809204}
{'Standard Squarts'},0/15,1/4,{19.86004900932312}
{'Standard Squarts'},0/15,1/4,{19.90754222869873}
{'Standard Squarts'},0/15,1/4,{19.953078985214233}
{'Standard Squarts'},0/15,1/4,{19.985689640045166}
{'Standard Squarts'},0/15,1/4,{20.03369641304016}
{'Standard Squarts'},0/15,1/4,{20.079444646835327}
{'Standard Squarts'},0/15,1/4,{20.126317977905273}
{'Standard Squarts'},0/15,1/4,{20.173848152160645}
{'Standard Squarts'},0/15,1/4,{20.221518993377686}
{'Standard Squarts'},0/15,1/4,{20.267178773880005}
{'Standard Squarts'},0/15,1/4,{20.3130886554718}
{'Standard Squarts'},0/15,1/4,{20.359952449798584}
{'Standard Squarts'},0/15,1/4,{20.406184673309326}
{'Standard Squarts'},0/15,1/4,{20.453205585479736}
{'Standard Squarts'},0/15,1/4,{20.49956464767456}
{'Standard Squarts'},0/15,1/4,{20.54544687271118}
{'Standard Squarts'},0/15,1/4,{20.592983722686768}
{'Standard Squarts'},0/15,1/4,{20.625874280929565}
{'Standard Squarts'},0/15,1/4,{20.672932386398315}
{'Standard Squarts'},0/15,1/4,{20.71962022781372}
{'Standard Squarts'},0/15,1/4,{20.76622772216797}
{'Standard Squarts'},0/15,1/4,{20.811311960220337}
{'Standard Squarts'},0/15,1/4,{20.84460949897766}
{'Standard Squarts'},0/15,1/4,{20.877936363220215}
{'Standard Squarts'},0/15,1/4,{20.930773496627808}
{'Standard Squarts'},0/15,1/4,{20.979610919952393}
{'Standard Squarts'},0/15,1/4,{21.019549131393433}
{'Standard Squarts'},0/15,1/4,{21.066537380218506}
{'Standard Squarts'},0/15,1/4,{21.112812757492065}
{'Standard Squarts'},0/15,1/4,{21.161476135253906}
{'Standard Squarts'},0/15,1/4,{21.20771288871765}
{'Standard Squarts'},0/15,1/4,{21.254950046539307}
{'Standard Squarts'},0/15,1/4,{21.30015540122986}
{'Standard Squarts'},0/15,1/4,{21.345324754714966}
{'Standard Squarts'},0/15,1/4,{21.37952947616577}
{'Standard Squarts'},0/15,1/4,{21.424330234527588}
{'Standard Squarts'},0/15,1/4,{21.457905769348145}
{'Standard Squarts'},0/15,1/4,{21.50659441947937}
{'Standard Squarts'},0/15,1/4,{21.550256967544556}
{'Standard Squarts'},0/15,1/4,{21.582629442214966}
{'Standard Squarts'},0/15,1/4,{21.630826473236084}
{'Standard Squarts'},0/15,1/4,{21.675403356552124}
{'Standard Squarts'},0/15,1/4,{21.725045442581177}
{'Standard Squarts'},0/15,1/4,{21.771106243133545}
{'Standard Squarts'},0/15,1/4,{21.817373514175415}
{'Standard Squarts'},0/15,1/4,{21.863943576812744}
{'Standard Squarts'},0/15,1/4,{21.898073196411133}
{'Standard Squarts'},0/15,1/4,{21.9472496509552}
{'Standard Squarts'},0/15,1/4,{21.990822553634644}
{'Standard Squarts'},0/15,1/4,{22.02536678314209}
{'Standard Squarts'},0/15,1/4,{22.07178783416748}
{'Standard Squarts'},0/15,1/4,{22.117391109466553}
{'Standard Squarts'},0/15,1/4,{22.151769161224365}
{'Standard Squarts'},0/15,1/4,{22.197691440582275}
{'Standard Squarts'},0/15,1/4,{22.242782592773438}
{'Standard Squarts'},0/15,1/4,{22.275833129882812}
{'Standard Squarts'},0/15,1/4,{22.323036193847656}
{'Standard Squarts'},0/15,1/4,{22.373308658599854}
{'Standard Squarts'},0/15,1/4,{22.418858528137207}
{'Standard Squarts'},0/15,1/4,{22.466211318969727}
{'Standard Squarts'},0/15,1/4,{22.511435747146606}
{'Standard Squarts'},0/15,1/4,{22.5443594455719}
{'Standard Squarts'},0/15,1/4,{22.575886726379395}
{'Standard Squarts'},0/15,1/4,{22.60883378982544}
{'Standard Squarts'},0/15,1/4,{22.656492948532104}
{'Standard Squarts'},0/15,1/4,{22.70208716392517}
